1,7,42507-274,38.49,749
2,10,49288-0636,87.06,625
3,9,0054-8529,22.84,791
4,6,16590-745,19.01,548
5,4,30142-434,31.83,636
6,4,54868-5621,81.99,971
7,9,36987-3297,98.5,762
8,1,54575-345,65.5,963
9,4,48951-2077,97.67,676
10,1,68016-146,87.95,673
11,5,0185-0933,45.67,955
12,7,68788-9223,38.79,640
13,7,63629-4483,92.65,885
14,6,10544-239,23.09,665
15,7,44523-415,17.22,815
16,8,13537-470,47.29,787
17,1,0536-0825,22.72,738
18,1,0904-6344,54.06,680
19,9,0641-6003,3.37,598
20,3,43857-0044,51.01,639
21,1,0409-7902,24.93,801
22,10,0591-0502,66.29,548
23,8,36987-1376,23.11,550
24,7,67938-1407,89.41,596
25,9,37205-197,87.2,633
26,7,36987-2296,20.87,557
27,8,48951-1007,2.23,775
28,1,63981-344,89.49,985
29,10,61957-1931,40.93,887
30,8,0781-3402,54.21,917
31,7,43857-0041,1.17,803
32,2,51523-034,3.78,507
33,8,68788-9547,34.61,513
34,1,10356-559,68.4,920
35,8,67253-388,79.66,797
36,10,0115-1476,65.01,844
37,9,24236-583,85.06,942
38,5,51079-300,90.84,606
39,8,48951-8167,68.42,667
40,7,10671-010,38.85,954
41,1,57664-175,47.81,545
42,5,64942-1284,6.97,506
43,9,13537-534,14.85,820
44,2,0781-3142,20.88,935
45,8,55045-3248,46.26,513
46,3,55289-172,86.81,940
47,9,62670-4778,39.78,756
48,9,52584-626,21.61,716
49,1,13537-208,83.59,578
50,10,68647-182,85.14,655
51,4,68788-9943,19.36,738
52,6,34362-0231,33.05,964
53,10,55154-5660,55.47,930
54,3,0002-4454,33.64,534
55,10,0942-9393,71.2,806
56,3,47219-202,70.4,520
57,7,64159-7089,59.03,613
58,2,51885-3100,84.15,668
59,3,60760-625,67.02,609
60,2,63187-060,64.84,606
61,4,0052-0603,63.65,590
62,8,52125-448,40.69,697
63,7,0093-7169,51.34,859
64,6,68012-052,63.32,840
65,4,59779-076,40.2,894
66,3,0169-0093,41.18,957
67,4,42248-114,1.31,643
68,8,54868-0691,99.49,878
69,2,0378-0543,98.28,646
70,7,62011-0022,3.96,688
71,5,55319-678,23.73,638
72,3,0245-0223,1.04,957
73,8,35356-573,44.84,742
74,5,50970-002,41.94,615
75,7,54868-5905,30.78,723
76,8,0781-5618,9.44,665
77,3,54619-0001,61.88,740
78,10,0603-0747,32.55,868
79,1,59779-842,93.22,832
80,10,62839-1345,58.37,755
81,1,36987-3451,3.62,809
82,5,63629-4057,85.54,540
